,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown,Daily_Return
675,2025-07-31,25989.331296920776,6514.911672592163,19474.419624328613,2462,26604.831296920776,-2.3134895806358204,-1.3088808625120851
676,2025-08-01,26137.051156044006,6514.911672592163,19622.139483451843,2462,26604.831296920776,-1.7582526107989664,0.5683865330568638
677,2025-08-04,26137.051156044006,6514.911672592163,19622.139483451843,2462,26604.831296920776,-1.7582526107989664,0.0
678,2025-08-05,26013.951860427856,6514.911672592163,19499.040187835693,2462,26604.831296920776,-2.2209478793474173,-0.47097622023700714
679,2025-08-06,26284.771015167236,6514.911672592163,19769.859342575073,2462,26604.831296920776,-1.203015640962112,1.041053493880506
680,2025-08-07,26432.49204826355,6514.911672592163,19917.580375671387,2462,26604.831296920776,-0.647774258494069,0.5620023587463274
681,2025-08-08,26555.592517852783,6514.911672592163,20040.68084526062,2462,26604.831296920776,-0.18507457731442944,0.46571647260675864
682,2025-08-11,26186.291109085083,6514.911672592163,19671.37943649292,2462,26604.831296920776,-1.5731736208533482,-1.3906728253923362
683,2025-08-12,25890.851390838623,6514.911672592163,19375.93971824646,2462,26604.831296920776,-2.683647560527057,-1.128222843837401
684,2025-08-13,27097.230827331543,6514.911672592163,20582.31915473938,2462,27097.230827331543,0.0,4.659481522186604
685,2025-08-14,26752.55233001709,6514.911672592163,20237.640657424927,2462,27097.230827331543,-1.2720063519066094,-1.2720063519066072
686,2025-08-15,26334.012142181396,6514.911672592163,19819.100469589233,2462,27097.230827331543,-2.8165929205589824,-1.5644869419284557
687,2025-08-18,26161.671719551086,6514.911672592163,19646.760046958923,2462,27097.230827331543,-3.45260042895899,-0.6544404312560426
688,2025-08-19,26777.170545578003,6514.911672592163,20262.25887298584,2462,27097.230827331543,-1.1811549445514269,2.352673914056269
689,2025-08-20,26900.271015167236,6514.911672592163,20385.359342575073,2462,27097.230827331543,-0.7268632482018926,0.4597217222024996
690,2025-08-21,26826.411672592163,6514.911672592163,20311.5,2462,27097.230827331543,-0.999434800054251,-0.27456728050594403
691,2025-08-22,26900.271015167236,6514.911672592163,20385.359342575073,2462,27097.230827331543,-0.7268632482018926,0.275323228005675
692,2025-08-25,26727.93176651001,6514.911672592163,20213.020093917847,2462,27097.230827331543,-1.3628664241551973,-0.6406598972926947
693,2025-08-26,26481.730827331543,6514.911672592163,19966.81915473938,2462,27097.230827331543,-2.271449816854266,-0.9211372631793169
694,2025-08-27,26654.072423934937,6514.911672592163,20139.160751342773,2462,27097.230827331543,-1.6354379760075557,0.6507943069397948
695,2025-08-28,26851.032236099243,6514.911672592163,20336.12056350708,2462,27097.230827331543,-0.9085747278056632,0.7389482891456467
696,2025-08-29,27047.99204826355,6514.911672592163,20533.080375671387,2462,27097.230827331543,-0.1817114796037705,0.7335278972981474
697,2025-09-01,27195.710733413696,6514.911672592163,20680.799060821533,2462,27195.710733413696,0.0,0.5461354945925923
698,2025-09-02,27318.81120300293,6514.911672592163,20803.899530410767,2462,27318.81120300293,0.0,0.4526466353313108
699,2025-09-03,27171.092517852783,6514.911672592163,20656.18084526062,2462,27318.81120300293,-0.5407214979175557,-0.5407214979175512
700,2025-09-04,27220.331296920776,6514.911672592163,20705.419624328613,2462,27318.81120300293,-0.3604838634827867,0.18121751650450602
701,2025-09-05,27047.99204826355,6514.911672592163,20533.080375671387,2462,27318.81120300293,-0.9913284759243514,-0.6331269328699207
702,2025-09-08,27171.092517852783,6514.911672592163,20656.18084526062,2462,27318.81120300293,-0.5407214979175557,0.45511869927192805
703,2025-09-09,27515.771015167236,6514.911672592163,21000.859342575073,2462,27515.771015167236,0.0,1.2685485395479867
704,2025-09-10,27983.55233001709,6514.911672592163,21468.640657424927,2462,27983.55233001709,0.0,1.7000480000796792
705,2025-09-11,28377.471954345703,6514.911672592163,21862.56028175354,2462,28377.471954345703,0.0,1.4076826976183066
706,2025-09-12,28205.132705688477,6514.911672592163,21690.221033096313,2462,28377.471954345703,-0.6073100836272157,-0.6073100836272105
707,2025-09-15,28155.891578674316,6514.911672592163,21640.979906082153,2462,28377.471954345703,-0.7808319783660436,-0.17458214973840036
708,2025-09-16,28057.411672592163,6514.911672592163,21542.5,2462,28377.471954345703,-1.1278674938643585,-0.3497666049998016
709,2025-09-17,27712.730827331543,6514.911672592163,21197.81915473938,2462,28377.471954345703,-2.3424959350981305,-1.2284841142254033
710,2025-09-18,27663.49204826355,6514.911672592163,21148.580375671387,2462,28377.471954345703,-2.5160095558576177,-0.17767566601351037
711,2025-09-19,27688.11261177063,6514.911672592163,21173.200939178467,2462,28377.471954345703,-2.4292486084882037,0.08900020092952321
712,2025-09-22,27663.49204826355,6514.911672592163,21148.580375671387,2462,28377.471954345703,-2.5160095558576177,-0.08892106100656383
713,2025-09-23,27417.291109085083,6514.911672592163,20902.37943649292,2462,28377.471954345703,-3.3836024815930754,-0.8899850342427018
714,2025-09-24,27392.670545578003,6514.911672592163,20877.75887298584,2462,28377.471954345703,-3.470363428962489,-0.08979940216968796
715,2025-09-25,27195.710733413696,6514.911672592163,20680.799060821533,2462,28377.471954345703,-4.164434459959119,-0.7190237689187362
716,2025-09-26,27491.152799606323,6514.911672592163,20976.24112701416,2462,28377.471954345703,-3.123319639484833,1.086355378201742
717,2025-09-29,27589.632705688477,6514.911672592163,21074.721033096313,2462,28377.471954345703,-2.7762841239865184,0.3582239959161182
718,2025-09-30,27269.572423934937,6514.911672592163,20754.660751342773,2462,28377.471954345703,-3.904151617850877,-1.1600744568359134
719,2025-10-02,27466.532236099243,6514.911672592163,20951.62056350708,2462,28377.471954345703,-3.210080586854247,0.7222695284779368
720,2025-10-03,27023.37148475647,6514.911672592163,20508.459812164307,2462,28377.471954345703,-4.771744543586334,-1.6134572341838127
721,2025-10-06,25866.232001304626,6514.911672592163,19351.320328712463,2462,28377.471954345703,-8.84941391918637,-4.281995250313497
722,2025-10-08,26013.951860427856,6514.911672592163,19499.040187835693,2462,28377.471954345703,-8.328860645938896,0.5710915262639782
723,2025-10-09,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
724,2025-10-10,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
725,2025-10-13,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
726,2025-10-14,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
727,2025-10-15,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
728,2025-10-16,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
729,2025-10-17,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
730,2025-10-20,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
731,2025-10-21,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
732,2025-10-22,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
733,2025-10-23,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
734,2025-10-24,26013.951860427856,26013.951860427856,0.0,0,28377.471954345703,-8.328860645938896,0.0
